source_file,metric,median_overall,median_true,median_false,n_overall,n_true,n_false
AgentOpenAI_300,jaccard,0.2857142857142857,0.39472517730496454,0.17534816422499547,298,180,118
LexRank,jaccard,0.213224043715847,0.35948717948717945,0.17307692307692307,298,100,198
Mixeddocx,jaccard,0.19378911892152142,0.33491379310344827,0.17089216944801028,200,66,134
weaviateNaive1_300,jaccard,0.17620967741935484,0.37209302325581395,0.16279069767441862,298,41,257
BART,jaccard,0.1568627450980392,0.1774193548387097,0.15384615384615385,298,53,245
MixedLexRank,jaccard,0.12727272727272726,0.14285714285714285,0.1206896551724138,358,141,217
MixedRest,jaccard,0.0,0.034482758620689655,0.0,158,75,83
