source_file,metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,doc_retrieved_pct,overall_pass_rate,avg_pass_rate,n_true,n_false,median_overall,median_true,median_false
weaviateNaive1_300,jaccard,0.4,0.06040268456375839,0.003355704697986577,0.05704697986577181,0.01881376105076843,0.1773126067467274,0.0005332283604287183,0.02080704947395468,0.9378380943342507,0.6786427145708582,0.20930232558139533,0.15953307392996108,0.13758389261744966,0.06375838926174497,0.06375838926174497,41,257,0.17620967741935484,0.37209302325581395,0.16279069767441862
BART,jaccard,0.38,0.016778523489932886,0.006711409395973154,0.010067114093959731,0.0027302253794419876,0.09614319637386695,0.001641791500273885,0.02701173991901793,0.5922217943781286,0.9580838323353293,0.02357320099255583,0.2163265306122449,0.17785234899328858,0.02348993288590604,0.02348993288590604,53,245,0.1568627450980392,0.1774193548387097,0.15384615384615385
LexRank,jaccard,0.31,0.2181208053691275,0.040268456375838924,0.17785234899328858,0.14843650429816696,0.30866123951380725,0.02052071755071148,0.07751610302954656,0.8880555555555556,0.007984031936127744,0.18641025641025638,0.5050505050505051,0.33557046979865773,0.25838926174496646,0.25838926174496646,100,198,0.213224043715847,0.35948717948717945,0.17307692307692307
AgentOpenAI_300,jaccard,0.26,0.5369127516778524,0.020134228187919462,0.5167785234899329,0.46405684378407486,0.6082259834107866,0.006093023599389801,0.06443525124556457,0.9625706214689266,0.001996007984031936,0.21937701307996907,0.6555555555555556,0.6040268456375839,0.5570469798657718,0.5570469798657718,180,118,0.2857142857142857,0.39472517730496454,0.17534816422499547
MixedLexRank,jaccard,0.25,0.1564245810055866,0.055865921787709494,0.1005586592178771,0.1056800271942622,0.2253942763454351,0.032331544069655674,0.0948519668986851,0.5909729712063274,0.12574850299401197,0.02216748768472905,0.6497695852534562,0.39385474860335196,0.2122905027932961,0.2122905027932961,141,217,0.12727272727272726,0.14285714285714285,0.1206896551724138
Mixeddocx,jaccard,0.25,0.265,0.1,0.165,0.17361604130795844,0.382236058300298,0.059839532408831074,0.16245620414675158,0.8699118046132972,0.06786427145708583,0.164021623655438,0.4925373134328358,0.33,0.365,0.365,66,134,0.19378911892152142,0.33491379310344827,0.17089216944801028
MixedRest,jaccard,0.01,0.25949367088607594,0.16455696202531644,0.0949367088607595,0.1737431409305522,0.3686818052008225,0.10001210497731682,0.25877971479802736,0.6279518072289156,0.24750499001996007,0.034482758620689655,0.9036144578313253,0.47468354430379744,0.4240506329113924,0.4240506329113924,75,83,0.0,0.034482758620689655,0.0
