source_file,best_threshold,true_pass_rate,false_pass_rate,difference,median_false,auc
weaviateNaive1_300,0.77,0.11073825503355705,0.006711409395973154,0.1040268456375839,0.41379310344827586,0.9875676188668502
weaviateNaive1AI,0.66,0.09731543624161074,0.030201342281879196,0.06711409395973154,0.39619252873563215,0.9559593023255814
weaviateCoT1_300,0.7,0.050335570469798654,0.006711409395973154,0.0436241610738255,0.34,0.9965459493405904
weaviateNaive3_300,0.71,0.0436241610738255,0.016778523489932886,0.026845637583892617,0.4583333333333333,0.5925243910318537
weaviateCoT_3_300,0.77,0.016778523489932886,0.003355704697986577,0.013422818791946308,0.4,0.7468915343915344
