metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,n_true,n_false,class_balance_ratio,median_overall,median_true,median_false,overall_pass_rate,doc_retrieved_pct,source_file,avg_pass_rate,label
rouge1_f,0.47,0.087248322147651,0.03355704697986577,0.053691275167785234,0.032760015388706376,0.21245787193260648,0.017517604796681123,0.06333576425047627,0.9367941539337572,0.7298540291941612,0.25557461373777923,41,257,0.15953307392996108,0.29300812602847937,0.5283018818369528,0.2727272680991736,0.12080536912751678,0.13758389261744966,weaviateNaive1_300,0.12080536912751678,rouge1_f | weaviateNaive1_300
rouge1_f,0.41,0.003355704697986577,0.0,0.003355704697986577,7.829626191423189e-05,0.12647060401593763,8.673617379884035e-19,0.014028547890459302,0.6333994708994709,0.9924015196960608,0.039428895639261496,28,270,0.1037037037037037,0.19047618637629135,0.22861808070682915,0.18918918506756766,0.003355704697986577,0.09395973154362416,weaviateCoT_3_300,0.003355704697986577,rouge1_f | weaviateCoT_3_300
rouge1_f,0.4,0.5234899328859061,0.026845637583892617,0.4966442953020134,0.4507995431542442,0.5951986196061223,0.009417976824294613,0.07410990256828276,0.9667608286252354,0.0001999600079984003,0.2619972446990425,180,118,0.6555555555555556,0.4318181771758781,0.5515030896812703,0.28950584498222776,0.5503355704697986,0.6040268456375839,AgentOpenAI_300,0.5503355704697986,rouge1_f | AgentOpenAI_300
jaccard,0.4,0.06040268456375839,0.003355704697986577,0.05704697986577181,0.01881376105076843,0.1773126067467274,0.0005332283604287183,0.02080704947395468,0.9378380943342507,0.6806638672265547,0.20930232558139533,41,257,0.15953307392996108,0.17620967741935484,0.37209302325581395,0.16279069767441862,0.06375838926174497,0.13758389261744966,weaviateNaive1_300,0.06375838926174497,jaccard | weaviateNaive1_300
rouge1_f,0.39,0.026845637583892617,0.013422818791946308,0.013422818791946308,0.006951158534818348,0.0980565690749704,0.004649736319828526,0.038115013545098275,0.5073334625573431,0.9346130773845231,9.994050309547475e-10,67,231,0.29004329004329005,0.2195121903732898,0.21951219119571688,0.21951219019631185,0.040268456375838924,0.22483221476510068,weaviateNaive3_300,0.040268456375838924,rouge1_f | weaviateNaive3_300
bleu,0.37,0.3926174496644295,0.013422818791946308,0.37919463087248323,0.32423455840528637,0.465488126118753,0.0032125125065319317,0.05431615779079943,0.7904425612052731,0.0001999600079984003,0.20984413193324652,180,118,0.6555555555555556,0.32296734500878316,0.45261438127125597,0.24277024933800945,0.40604026845637586,0.6040268456375839,AgentOpenAI_300,0.40604026845637586,bleu | AgentOpenAI_300
jaccard,0.32,0.0738255033557047,0.010067114093959731,0.06375838926174497,0.02522770837525687,0.19710998615360104,0.003188156524547403,0.031322138525907615,0.9175872093023256,0.6616676664667066,0.21090103966114748,40,258,0.15503875968992248,0.1457513768686074,0.343265306122449,0.1323642664613015,0.08389261744966443,0.1342281879194631,weaviateNaive1AI,0.08389261744966443,jaccard | weaviateNaive1AI
jaccard,0.29,0.04697986577181208,0.020134228187919462,0.02684563758389262,0.0070912811841961215,0.2538731090853423,0.009057185344772092,0.04415497271644768,0.9850324471425581,0.9368126374725055,0.23863636363636365,17,281,0.060498220640569395,0.1409353557240881,0.375,0.13636363636363635,0.06711409395973154,0.05704697986577181,weaviateCoT1_300,0.06711409395973154,jaccard | weaviateCoT1_300
jaccard,0.27,0.02348993288590604,0.010067114093959731,0.01342281879194631,0.005608206680597208,0.09305205800443826,0.0030066170365227463,0.03315651041367942,0.5189636234412354,0.9312137572485503,0.000690448791714593,67,231,0.29004329004329005,0.12658227848101267,0.12727272727272726,0.12658227848101267,0.03355704697986577,0.22483221476510068,weaviateNaive3_300,0.03355704697986577,jaccard | weaviateNaive3_300
jaccard,0.26,0.5369127516778524,0.020134228187919462,0.5167785234899329,0.46405684378407486,0.6082259834107866,0.006093023599389801,0.06443525124556457,0.9625706214689266,0.0001999600079984003,0.21937701307996907,180,118,0.6555555555555556,0.2857142857142857,0.39472517730496454,0.17534816422499547,0.5570469798657718,0.6040268456375839,AgentOpenAI_300,0.5570469798657718,jaccard | AgentOpenAI_300
jaccard,0.26,0.010067114093959731,0.0,0.010067114093959731,0.0006471769681595241,0.13770511654918083,8.673617379884035e-19,0.014028547890459302,0.6345899470899471,0.9764047190561888,0.026481857110660367,28,270,0.1037037037037037,0.11263138818412469,0.13759296822177147,0.1111111111111111,0.010067114093959731,0.09395973154362416,weaviateCoT_3_300,0.010067114093959731,jaccard | weaviateCoT_3_300
bleu,0.21,0.026845637583892617,0.003355704697986577,0.02348993288590604,0.0026067318850267474,0.22551163128537996,0.0005685450240719373,0.019539143039288387,0.9447351894494452,0.8298340331933614,0.14399589125971066,17,281,0.060498220640569395,0.015188190723583435,0.15772320728457406,0.0137273160248634,0.030201342281879196,0.05704697986577181,weaviateCoT1_300,0.030201342281879196,bleu | weaviateCoT1_300
bleu,0.18,0.07718120805369127,0.02348993288590604,0.053691275167785234,0.02730012401502903,0.19950844348485242,0.010833550188210937,0.050182121788021776,0.9130682357407232,0.6366726654669066,0.1835861017495281,41,257,0.15953307392996108,0.029313138704858098,0.20451020613638618,0.020924104386858062,0.10067114093959731,0.13758389261744966,weaviateNaive1_300,0.10067114093959731,bleu | weaviateNaive1_300
bleu,0.16,0.08053691275167785,0.020134228187919462,0.060402684563758385,0.02875060484480485,0.20583374016391356,0.008762139455167905,0.045586985149044884,0.8917635658914729,0.5552889422115577,0.18297591285793427,40,258,0.15503875968992248,0.017925618290037974,0.19695771626418496,0.01398180340625069,0.10067114093959731,0.1342281879194631,weaviateNaive1AI,0.10067114093959731,bleu | weaviateNaive1AI
bleu,0.1,0.010067114093959731,0.010067114093959731,0.0,0.0006471769681595241,0.13770511654918083,0.0032637573398481036,0.030616564754159,0.708994708994709,1.0,0.014647579900706904,28,270,0.1037037037037037,0.011410253776793281,0.025348910828523898,0.010701330927816994,0.020134228187919462,0.09395973154362416,weaviateCoT_3_300,0.020134228187919462,bleu | weaviateCoT_3_300
bleu,0.09,0.05704697986577181,0.04697986577181208,0.010067114093959731,0.02195695343543415,0.14017794049713406,0.026331233054499997,0.08244974095767324,0.6099373263552368,0.8914217156568687,0.007884174954863595,67,231,0.29004329004329005,0.016723316759278763,0.023247024951378734,0.015362849996515139,0.1040268456375839,0.22483221476510068,weaviateNaive3_300,0.1040268456375839,bleu | weaviateNaive3_300
