file,document_retrieved,token_recall,jaccard,rouge1_f,overlap,bleu,bert_cos
AgentOpenAI_300,0.6040268456375839,0.9143596986817326,0.9190207156308852,0.8994350282485876,0.8664312617702449,0.8080508474576271,0.7530131826741996
MixedLiHua,0.930379746835443,0.7399505256648115,0.5893630179344465,0.5562770562770563,0.7152133580705009,0.5803957946815089,0.5732838589981447
MixedSynthetic,0.805,0.8795986622073578,0.8365185539098583,0.820194298455168,0.8566650740563784,0.7530657748049053,0.7603917821309125
Total_358_Mixed,0.8603351955307262,0.839935064935065,0.7254545454545455,0.7179220779220779,0.7828571428571429,0.6691558441558442,0.6881818181818182
