file,document_retrieved,token_recall,jaccard,rouge1_f,overlap,bleu,bert_cos
AgentOpenAI_300,0.6040268456375839,0.9194630872483222,0.912751677852349,0.8926174496644295,0.8791946308724833,0.7751677852348994,0.7651006711409396
MixedLiHua,0.930379746835443,0.8291139240506329,0.3924050632911393,0.4873417721518987,0.6265822784810127,0.2974683544303798,0.5189873417721519
MixedSynthetic,0.805,0.8999999999999999,0.8150000000000001,0.8199999999999998,0.9099999999999999,0.665,0.7549999999999999
Total_358_Mixed,0.8603351955307262,0.8687150837988827,0.6284916201117319,0.6731843575418994,0.7849162011173185,0.5027932960893855,0.6508379888268156
