file,document_retrieved,token_recall,jaccard,rouge1_f,overlap,bleu,bert_cos
AgentOpenAI_300,0.6040268456375839,0.610738255033557,0.5570469798657718,0.5503355704697986,0.6375838926174496,0.40604026845637586,0.610738255033557
MixedLiHua,0.930379746835443,0.810126582278481,0.34810126582278483,0.46835443037974683,0.5822784810126582,0.24050632911392406,0.5
MixedSynthetic,0.805,0.765,0.67,0.695,0.805,0.51,0.65
Total_358_Mixed,0.8603351955307262,0.7849162011173184,0.5279329608938548,0.5949720670391061,0.7067039106145251,0.39106145251396646,0.5837988826815642
