metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,doc_retrieved_pct,n_true,n_false,median_overall,median_true,median_false
token_recall,0.64,0.7793296089385475,0.036312849162011177,0.7430167597765364,0.7297321233089702,0.8220449298684933,0.009468681847280405,0.1293252045937079,0.8650974025974026,0.001996007984031936,0.3392773892773894,0.16233766233766234,0.8603351955307262,308,50,0.8716540837336995,0.8923076923076924,0.553030303030303
jaccard,0.01,0.7821229050279329,0.13128491620111732,0.6508379888268156,0.7326981841633636,0.8245966395458743,0.06362724833291976,0.25155825172858903,0.7135389610389611,0.001996007984031936,0.12355518596327422,0.16233766233766234,0.8603351955307262,308,50,0.2727272727272727,0.29520697167755994,0.17165178571428572
rouge1_f,0.01,0.8156424581005587,0.1340782122905028,0.6815642458100559,0.7685390246248717,0.8549690454656621,0.06550050847143148,0.254872980225975,0.7482142857142857,0.001996007984031936,0.20731518327599552,0.16233766233766234,0.8603351955307262,308,50,0.4540768463149117,0.4794366148834124,0.27212143160741686
overlap,0.49,0.7262569832402235,0.061452513966480445,0.664804469273743,0.6739026126524186,0.7730368004213268,0.021368669518282604,0.16411711464578466,0.7967532467532468,0.001996007984031936,0.27077875684686825,0.16233766233766234,0.8603351955307262,308,50,0.7,0.7368421052631579,0.4660633484162896
bleu,0.01,0.7821229050279329,0.13128491620111732,0.6508379888268156,0.7326981841633636,0.8245966395458743,0.06362724833291976,0.25155825172858903,0.632564935064935,0.001996007984031936,0.08190392576954045,0.16233766233766234,0.8603351955307262,308,50,0.2857142857142857,0.3220046082949309,0.24010068252539044
bert_cos,0.21,0.8575418994413407,0.13128491620111732,0.7262569832402235,0.8140944498615437,0.8921801782056094,0.06362724833291976,0.25155825172858903,0.7197402597402598,0.001996007984031936,0.11853766441345215,0.16233766233766234,0.8603351955307262,308,50,0.7373674809932709,0.753484457731247,0.6349467933177948
