metric,median_overall,median_true,median_false,n_overall,n_true,n_false
token_recall,0.7564271588661833,0.8382737576285963,0.5094371418941692,298,180,118
jaccard,0.2857142857142857,0.39472517730496454,0.17534816422499547,298,180,118
rouge1_f,0.4318181771758781,0.5515030896812703,0.28950584498222776,298,180,118
overlap,0.6666666666666666,0.7735042735042735,0.430952380952381,298,180,118
bleu,0.32296734500878316,0.45261438127125597,0.24277024933800945,298,180,118
bert_cos,0.7415458559989929,0.7960936725139618,0.6641967594623566,298,180,118
