file,document_retrieved,token_recall,jaccard,rouge1_f,overlap,bleu,bert_cos
AgentOpenAI_300,,0.7564271588661833,0.2857142857142857,0.4318181771758781,0.6666666666666666,0.32296734500878316,0.7415458559989929
MixedLiHua,,1.0,0.15707236842105263,0.388888885316358,0.6666666666666666,0.16666666666666669,0.7085409760475159
MixedSynthetic,,0.7864741641337386,0.3354166666666667,0.47999999550577777,0.7182539682539683,0.37232285940088367,0.749114453792572
Total_358_Mixed,,0.8716540837336995,0.2727272727272727,0.4540768463149117,0.7,0.2857142857142857,0.7373674809932709
