file,document_retrieved,token_recall,jaccard,rouge1_f,overlap,bleu,bert_cos
AgentOpenAI_300,0.6040268456375839,0.8287193973634651,0.8380414312617702,0.7988700564971751,0.7328625235404896,0.6161016949152542,0.5060263653483992
MixedLiHua,0.930379746835443,0.4799010513296228,0.17872603586889302,0.11255411255411252,0.43042671614100186,0.16079158936301793,0.14656771799628943
MixedSynthetic,0.805,0.7591973244147157,0.6730371078197165,0.640388596910336,0.7133301481127567,0.5061315496098105,0.520783564261825
Total_358_Mixed,0.8603351955307262,0.67987012987013,0.4509090909090909,0.4358441558441559,0.5657142857142857,0.33831168831168834,0.37636363636363634
