metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,doc_retrieved_pct,n_true,n_false,median_overall,median_true,median_false
token_recall,0.01,0.8670886075949367,0.056962025316455694,0.810126582278481,0.8027627678340918,0.9127165868857692,0.0071546224072372155,0.3361213422436108,0.7473716759431045,0.001996007984031936,0.5,0.07482993197278912,0.930379746835443,147,11,1.0,1.0,0.5
jaccard,0.01,0.7531645569620253,0.05063291139240506,0.7025316455696202,0.677606770066236,0.8158272676715992,0.005791186524348041,0.32810300619294064,0.6434755720470006,0.001996007984031936,0.1124401913875598,0.07482993197278912,0.930379746835443,147,11,0.15707236842105263,0.15789473684210525,0.045454545454545456
rouge1_f,0.01,0.8291139240506329,0.056962025316455694,0.7721518987341772,0.7600804015600054,0.8813838474991803,0.0071546224072372155,0.3361213422436108,0.6168831168831169,0.001996007984031936,0.21818181635702485,0.07482993197278912,0.930379746835443,147,11,0.388888885316358,0.39999999520000007,0.18181817884297521
overlap,0.01,0.7531645569620253,0.05063291139240506,0.7025316455696202,0.677606770066236,0.8158272676715992,0.005791186524348041,0.32810300619294064,0.6811997526283241,0.001996007984031936,0.5,0.07482993197278912,0.930379746835443,147,11,0.6666666666666666,0.6666666666666666,0.16666666666666666
bleu,0.01,0.7531645569620253,0.05063291139240506,0.7025316455696202,0.677606770066236,0.8158272676715992,0.005791186524348041,0.32810300619294064,0.6264687693259122,0.001996007984031936,0.11558348412197512,0.07482993197278912,0.930379746835443,147,11,0.16666666666666669,0.17113903967753066,0.05555555555555554
bert_cos,0.21,0.9240506329113924,0.05063291139240506,0.8734177215189873,0.8696163022401587,0.9568857109707153,0.005791186524348041,0.32810300619294064,0.6542980828695114,0.001996007984031936,0.2618667483329773,0.07482993197278912,0.930379746835443,147,11,0.7085409760475159,0.7185739278793335,0.4567071795463562
