metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,doc_retrieved_pct,n_true,n_false,median_overall,median_true,median_false
token_recall,0.63,0.78,0.055,0.725,0.7099004227795043,0.837048890985953,0.01582814051708438,0.17397802918712835,0.9466475553432075,0.001996007984031936,0.27997364953886694,0.2422360248447205,0.805,161,39,0.7864741641337386,0.8405797101449275,0.5606060606060606
jaccard,0.18,0.79,0.09,0.7000000000000001,0.720696092311934,0.8457871255165753,0.033514440177750765,0.22001483977444522,0.9133620003185221,0.001996007984031936,0.19938107869142352,0.2422360248447205,0.805,161,39,0.3354166666666667,0.3717948717948718,0.1724137931034483
rouge1_f,0.28,0.795,0.095,0.7000000000000001,0.7261140881357062,0.8501360817243293,0.03629924679451492,0.2263333346216787,0.9147953495779583,0.001996007984031936,0.2523431873995144,0.2422360248447205,0.805,161,39,0.47999999550577777,0.5263157852527702,0.27397259785325584
overlap,0.54,0.78,0.045,0.735,0.7099004227795043,0.837048890985953,0.011515301273828202,0.1600842655023893,0.9388437649307214,0.001996007984031936,0.28616852146263916,0.2422360248447205,0.805,161,39,0.7182539682539683,0.7567567567567568,0.47058823529411764
bleu,0.01,0.805,0.195,0.6100000000000001,0.7369921714142675,0.85879190250882,0.10059582584165533,0.3441027848544905,0.7634177416786112,0.001996007984031936,0.20484614632729128,0.2422360248447205,0.805,161,39,0.37232285940088367,0.4525255462559146,0.24767939992862334
bert_cos,0.64,0.76,0.085,0.675,0.6884616766093512,0.8194198290300021,0.030786081649890204,0.2136398968383082,0.8520465042204173,0.001996007984031936,0.13413846492767334,0.2422360248447205,0.805,161,39,0.749114453792572,0.7703970670700073,0.636258602142334
