metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,doc_retrieved_pct,n_true,n_false,median_overall,median_true,median_false
token_recall,0.77,0.11073825503355705,0.006711409395973154,0.1040268456375839,0.04636991899129145,0.24180304791336138,0.0016898140216572016,0.026263029503034416,0.9875676188668502,0.4171656686626746,0.46120689655172414,0.15953307392996108,0.13758389261744966,41,257,0.45553359683794464,0.875,0.41379310344827586
jaccard,0.4,0.06040268456375839,0.003355704697986577,0.05704697986577181,0.01881376105076843,0.1773126067467274,0.0005332283604287183,0.02080704947395468,0.9378380943342507,0.6666666666666666,0.20930232558139533,0.15953307392996108,0.13758389261744966,41,257,0.17620967741935484,0.37209302325581395,0.16279069767441862
rouge1_f,0.47,0.087248322147651,0.03355704697986577,0.053691275167785234,0.032760015388706376,0.21245787193260648,0.017517604796681123,0.06333576425047627,0.9367941539337572,0.7245508982035929,0.25557461373777923,0.15953307392996108,0.13758389261744966,41,257,0.29300812602847937,0.5283018818369528,0.2727272680991736
overlap,0.83,0.06711409395973154,0.026845637583892617,0.040268456375838924,0.022107324926344804,0.18629192275210527,0.012997767943074848,0.05463046972346608,0.8896744804023916,0.8203592814371258,0.3457142857142857,0.15953307392996108,0.13758389261744966,41,257,0.47619047619047616,0.7857142857142857,0.44
bleu,0.18,0.07718120805369127,0.02348993288590604,0.053691275167785234,0.02730012401502903,0.19950844348485242,0.010833550188210937,0.050182121788021776,0.9130682357407232,0.6387225548902196,0.1835861017495281,0.15953307392996108,0.13758389261744966,41,257,0.029313138704858098,0.20451020613638618,0.020924104386858062
bert_cos,0.83,0.04697986577181208,0.013422818791946308,0.03355704697986577,0.012701642856005724,0.15887896517958155,0.004892240582558688,0.03628573432274936,0.8947518268957009,0.8542914171656687,0.12620288133621216,0.15953307392996108,0.13758389261744966,41,257,0.6829400062561035,0.7953117489814758,0.6691088676452637
