metric,median_overall,median_true,median_false,n_overall,n_true,n_false
token_recall,0.4666666666666667,0.5,0.4583333333333333,298,67,231
jaccard,0.12658227848101267,0.12727272727272726,0.12658227848101267,298,67,231
rouge1_f,0.2195121903732898,0.21951219119571688,0.21951219019631185,298,67,231
overlap,0.38461538461538464,0.38461538461538464,0.38461538461538464,298,67,231
bleu,0.016723316759278763,0.023247024951378734,0.015362849996515139,298,67,231
bert_cos,0.6572098731994629,0.6572206020355225,0.6571991443634033,298,67,231
