metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,doc_retrieved_pct,n_true,n_false,median_overall,median_true,median_false
token_recall,0.66,0.09731543624161074,0.030201342281879196,0.06711409395973154,0.03803609055321444,0.22716488065515522,0.01524851501477303,0.05893943914319753,0.9559593023255814,0.6467065868263473,0.3278218081819305,0.15503875968992248,0.1342281879194631,40,258,0.43050193050193053,0.7240143369175627,0.39619252873563215
jaccard,0.32,0.0738255033557047,0.010067114093959731,0.06375838926174497,0.02522770837525687,0.19710998615360104,0.003188156524547403,0.031322138525907615,0.9175872093023256,0.6307385229540918,0.21090103966114748,0.15503875968992248,0.1342281879194631,40,258,0.1457513768686074,0.343265306122449,0.1323642664613015
rouge1_f,0.47,0.07718120805369127,0.013422818791946308,0.06375838926174497,0.026974309324040324,0.20148671044474784,0.004901111314843165,0.03622212692019778,0.9099321705426356,0.6846307385229541,0.2948302463188517,0.15503875968992248,0.1342281879194631,40,258,0.2328251414198677,0.5135802419829143,0.21874999566406259
overlap,0.76,0.0738255033557047,0.016778523489932886,0.05704697986577181,0.02522770837525687,0.19710998615360104,0.006771389339915619,0.04096479207971125,0.9333817829457365,0.7365269461077845,0.3752525252525253,0.15503875968992248,0.1342281879194631,40,258,0.4444444444444444,0.7752525252525253,0.4
bleu,0.16,0.08053691275167785,0.020134228187919462,0.060402684563758385,0.02875060484480485,0.20583374016391356,0.008762139455167905,0.045586985149044884,0.8917635658914729,0.5409181636726547,0.18297591285793427,0.15503875968992248,0.1342281879194631,40,258,0.017925618290037974,0.19695771626418496,0.01398180340625069
bert_cos,0.8,0.06711409395973154,0.013422818791946308,0.053691275167785234,0.021829252927568543,0.18826179112142885,0.004901111314843165,0.03622212692019778,0.8705426356589148,0.7085828343313373,0.15090003609657288,0.15503875968992248,0.1342281879194631,40,258,0.6584690809249878,0.7965174615383148,0.6456174254417419
