metric,median_overall,median_true,median_false,n_overall,n_true,n_false
token_recall,0.4079290558163797,0.5166666666666666,0.4,298,28,270
jaccard,0.11263138818412469,0.13759296822177147,0.1111111111111111,298,28,270
rouge1_f,0.19047618637629135,0.22861808070682915,0.18918918506756766,298,28,270
overlap,0.36363636363636365,0.4,0.36363636363636365,298,28,270
bleu,0.011410253776793281,0.025348910828523898,0.010701330927816994,298,28,270
bert_cos,0.6065701246261597,0.6096147000789642,0.6064321994781494,298,28,270
