metric,median_overall,median_true,median_false,n_overall,n_true,n_false
token_recall,0.43050193050193053,0.7240143369175627,0.39619252873563215,298,40,258
jaccard,0.1457513768686074,0.343265306122449,0.1323642664613015,298,40,258
rouge1_f,0.2328251414198677,0.5135802419829143,0.21874999566406259,298,40,258
overlap,0.4444444444444444,0.7752525252525253,0.4,298,40,258
bleu,0.017925618290037974,0.19695771626418496,0.01398180340625069,298,40,258
bert_cos,0.6584690809249878,0.7965174615383148,0.6456174254417419,298,40,258
