metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,doc_retrieved_pct,n_true,n_false,median_overall,median_true,median_false
token_recall,0.77,0.016778523489932886,0.003355704697986577,0.013422818791946308,0.0016671617445974396,0.14848852501223142,0.0005525629684895207,0.020093242989819047,0.7468915343915344,0.9754049190161967,0.11666666666666659,0.1037037037037037,0.09395973154362416,28,270,0.4079290558163797,0.5166666666666666,0.4
jaccard,0.26,0.010067114093959731,0.0,0.010067114093959731,0.0006471769681595241,0.13770511654918083,8.673617379884035e-19,0.014028547890459302,0.6345899470899471,0.9764047190561888,0.026481857110660367,0.1037037037037037,0.09395973154362416,28,270,0.11263138818412469,0.13759296822177147,0.1111111111111111
rouge1_f,0.41,0.003355704697986577,0.0,0.003355704697986577,7.829626191423189e-05,0.12647060401593763,8.673617379884035e-19,0.014028547890459302,0.6333994708994709,0.9924015196960608,0.039428895639261496,0.1037037037037037,0.09395973154362416,28,270,0.19047618637629135,0.22861808070682915,0.18918918506756766
overlap,0.67,0.016778523489932886,0.010067114093959731,0.006711409395973155,0.0016671617445974396,0.14848852501223142,0.0032637573398481036,0.030616564754159,0.6056216931216931,0.9876024795040992,0.036363636363636376,0.1037037037037037,0.09395973154362416,28,270,0.36363636363636365,0.4,0.36363636363636365
bleu,0.1,0.010067114093959731,0.010067114093959731,0.0,0.0006471769681595241,0.13770511654918083,0.0032637573398481036,0.030616564754159,0.708994708994709,1.0,0.014647579900706904,0.1037037037037037,0.09395973154362416,28,270,0.011410253776793281,0.025348910828523898,0.010701330927816994
bert_cos,0.8,0.003355704697986577,0.003355704697986577,0.0,7.829626191423189e-05,0.12647060401593763,0.0005525629684895207,0.020093242989819047,0.5806878306878307,1.0,0.0031825006008148193,0.1037037037037037,0.09395973154362416,28,270,0.6065701246261597,0.6096147000789642,0.6064321994781494
