metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,doc_retrieved_pct,n_true,n_false,median_overall,median_true,median_false
token_recall,0.71,0.0436241610738255,0.016778523489932886,0.026845637583892617,0.014754111954373504,0.12199093027918156,0.006452827226176423,0.04291354505347503,0.5925243910318537,0.8768246350729854,0.041666666666666685,0.29004329004329005,0.22483221476510068,67,231,0.4666666666666667,0.5,0.4583333333333333
jaccard,0.27,0.02348993288590604,0.010067114093959731,0.01342281879194631,0.005608206680597208,0.09305205800443826,0.0030066170365227463,0.03315651041367942,0.5189636234412354,0.9312137572485503,0.000690448791714593,0.29004329004329005,0.22483221476510068,67,231,0.12658227848101267,0.12727272727272726,0.12658227848101267
rouge1_f,0.39,0.026845637583892617,0.013422818791946308,0.013422818791946308,0.006951158534818348,0.0980565690749704,0.004649736319828526,0.038115013545098275,0.5073334625573431,0.9346130773845231,9.994050309547475e-10,0.29004329004329005,0.22483221476510068,67,231,0.2195121903732898,0.21951219119571688,0.21951219019631185
overlap,0.81,0.010067114093959731,0.0,0.010067114093959731,0.001332410504880685,0.07193800248114171,0.0,0.016358260206028232,0.5047166763584674,0.9650069986002799,0.0,0.29004329004329005,0.22483221476510068,67,231,0.38461538461538464,0.38461538461538464,0.38461538461538464
bleu,0.09,0.05704697986577181,0.04697986577181208,0.010067114093959731,0.02195695343543415,0.14017794049713406,0.026331233054499997,0.08244974095767324,0.6099373263552368,0.8914217156568687,0.007884174954863595,0.29004329004329005,0.22483221476510068,67,231,0.016723316759278763,0.023247024951378734,0.015362849996515139
bert_cos,0.85,0.0,0.0,0.0,0.0,0.05422802421176257,0.0,0.016358260206028232,0.5140531110680364,1.0,2.1457672119140625e-05,0.29004329004329005,0.22483221476510068,67,231,0.6572098731994629,0.6572206020355225,0.6571991443634033
