metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,doc_retrieved_pct,n_true,n_false,median_overall,median_true,median_false
token_recall,0.7,0.050335570469798654,0.006711409395973154,0.0436241610738255,0.007996584299608978,0.2584421438197847,0.0017811677663334968,0.02494741429659872,0.9965459493405904,0.8994201159768046,0.4885714285714286,0.060498220640569395,0.05704697986577181,17,281,0.3495887191539365,0.8285714285714286,0.34
jaccard,0.29,0.04697986577181208,0.020134228187919462,0.02684563758389262,0.0070912811841961215,0.2538731090853423,0.009057185344772092,0.04415497271644768,0.9850324471425581,0.9368126374725055,0.23863636363636365,0.060498220640569395,0.05704697986577181,17,281,0.1409353557240881,0.375,0.13636363636363635
rouge1_f,0.52,0.03355704697986577,0.006711409395973154,0.026845637583892617,0.0039058877613307036,0.2351611511087866,0.0017811677663334968,0.02494741429659872,0.9776010048147373,0.9388122375524895,0.31509120932811086,0.060498220640569395,0.05704697986577181,17,281,0.23333332898333342,0.5373134287725553,0.22222221944444445
overlap,0.77,0.03355704697986577,0.026845637583892617,0.006711409395973155,0.0039058877613307036,0.2351611511087866,0.013401150132432434,0.053052795927931114,0.9582373874816831,0.9830033993201359,0.42929292929292934,0.060498220640569395,0.05704697986577181,17,281,0.4,0.8181818181818182,0.3888888888888889
bleu,0.21,0.026845637583892617,0.003355704697986577,0.02348993288590604,0.0026067318850267474,0.22551163128537996,0.0005685450240719373,0.019539143039288387,0.9447351894494452,0.8298340331933614,0.14399589125971066,0.060498220640569395,0.05704697986577181,17,281,0.015188190723583435,0.15772320728457406,0.0137273160248634
bert_cos,0.85,0.006711409395973154,0.0,0.006711409395973154,0.00018833180413879713,0.19508400426713632,0.0,0.013486794063788433,0.8972158258321122,0.9902019596080783,0.12957096099853516,0.060498220640569395,0.05704697986577181,17,281,0.6404599249362946,0.7662696242332458,0.6366986632347107
