metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,doc_retrieved_pct,n_true,n_false,median_overall,median_true,median_false
token_recall,0.67,0.5671140939597316,0.0436241610738255,0.5234899328859061,0.49407433659623934,0.6373489855762361,0.01899428206023762,0.0970326087013973,0.9659604519774011,0.001996007984031936,0.32883661573442713,0.6555555555555556,0.6040268456375839,180,118,0.7564271588661833,0.8382737576285963,0.5094371418941692
jaccard,0.26,0.5369127516778524,0.020134228187919462,0.5167785234899329,0.46405684378407486,0.6082259834107866,0.006093023599389801,0.06443525124556457,0.9625706214689266,0.001996007984031936,0.21937701307996907,0.6555555555555556,0.6040268456375839,180,118,0.2857142857142857,0.39472517730496454,0.17534816422499547
rouge1_f,0.4,0.5234899328859061,0.026845637583892617,0.4966442953020134,0.4507995431542442,0.5951986196061223,0.009417976824294613,0.07410990256828276,0.9667608286252354,0.001996007984031936,0.2619972446990425,0.6555555555555556,0.6040268456375839,180,118,0.4318181771758781,0.5515030896812703,0.28950584498222776
overlap,0.56,0.5604026845637584,0.07718120805369127,0.48322147651006714,0.48738106398151165,0.6308999259737162,0.04128456807420025,0.13974034542554972,0.9466337099811676,0.001996007984031936,0.34255189255189256,0.6555555555555556,0.6040268456375839,180,118,0.6666666666666666,0.7735042735042735,0.430952380952381
bleu,0.37,0.3926174496644295,0.013422818791946308,0.37919463087248323,0.32423455840528637,0.465488126118753,0.0032125125065319317,0.05431615779079943,0.7904425612052731,0.001996007984031936,0.20984413193324652,0.6555555555555556,0.6040268456375839,180,118,0.32296734500878316,0.45261438127125597,0.24277024933800945
bert_cos,0.71,0.4899328859060403,0.12080536912751678,0.3691275167785235,0.4178799203062429,0.5624065813678859,0.07367030562857335,0.19185203743072626,0.8561676082862524,0.001996007984031936,0.13189691305160522,0.6555555555555556,0.6040268456375839,180,118,0.7415458559989929,0.7960936725139618,0.6641967594623566
